repo_name,L1_hit,L2_hit
OpenRouterTeam/ai-sdk-provider,False,True
OpenZeppelin/stellar-contracts,True,True
Opencode-DCP/opencode-dynamic-context-pruning,False,True
Orchestra-Research/AI-research-SKILLs,False,True
PHPCSStandards/PHP_CodeSniffer,True,False
PV-Bhat/vibe-check-mcp-server,False,True
Papela/Nitrox-Cracked-Mod,False,True
Portkey-AI/gateway,False,True
PowerShell/AIShell,False,True
PowerShell/ProjectMercury,False,True
PrefectHQ/fastmcp,True,True
Priivacy-ai/spec-kitty,True,True
Prof-Harita/terminaI,True,True
Project-HAMi/HAMi,True,True
PromtEngineer/localGPT,True,False
PumasAI/QuartoNotebookRunner.jl,True,True
Qiskit/mcp-servers,True,False
Qiskit/qiskit-code-assistant-jupyterlab,True,True
Quozul/PicoLimbo,True,True
ROCm/rocWMMA,True,True
RackulaLives/Rackula,True,True
Rakshitg600/notakto-website,False,True
Rallista/valhalla-mobile,True,False
RatherRude/Elite-Dangerous-AI-Integration,False,True
Regyl/yagfi-back,True,True
RooCodeInc/Roo-Code,False,True
Roshansuthar1105/Omex,True,True
RunMaestro/Maestro,True,True
S4tvara/Sietch,True,True
SAP-samples/ui5-typescript-walkthrough,True,True
SAP/ai-sdk-java,True,True
SAP/ai-sdk-js,True,True
SAP/app-studio-toolkit,True,True
SAP/architecture-center,True,True
SAP/btp-solution-diagrams,True,True
SAP/cloud-active-defense,True,True
SAP/cloud-sdk-java,True,True
SAP/crossplane-provider-btp,True,True
SAP/e-mobility-charging-stations-simulator,True,True
SAP/gigya-react-native-plugin-for-sap-customer-data-cloud,True,True
SEACrowd/seacrowd-datahub,False,True
SKaiNET-developers/SKaiNET,False,True
SOLVE-IT-DF/solve-it,False,True
SakanaAI/ShinkaEvolve,True,True
SchoolyB/EZ,True,True
Scottcjn/Rustchain,True,False
SepineTam/stata-mcp,True,False
ShadowBlip/InputPlumber,False,True
Sharkord/sharkord,True,True
SharonIV0x86/CinderPeak,True,False
ShipBit/wingman-ai,False,True
SillyTavern/SillyTavern,True,True
SnapXL/SnapX,True,True
Stability-AI/StableSwarmUI,True,True
StacklokLabs/toolhive,True,True
Storia-AI/sage,False,True
Story-Of-Alicia/alicia-server,False,True
StrikerX3/Ymir,True,True
SubstantialCattle5/Sietch,True,True
SuperClaude-Org/SuperClaude_Framework,True,True
Suraj-kumar00/Flash-Fathom-AI,True,True
SwingTheVine/Wplace-BlueMarble,False,True
SwitchbackTech/compass,True,False
SynkraAI/aios-core,True,False
SynkraAI/aiox-core,True,False
TecharoHQ/anubis,False,True
TheDanniCraft/activity-log,True,True
TheNickOfTime/handbrake-web,True,True
TibixDev/winboat,False,True
TinyPedal/TinyPedal,True,True
UI5/linter,True,True
UKGovernmentBEIS/inspect_ai,False,True
