repo_name,conditions
crowddotdev/crowd.dev,"human_review,follow_ai_rules"
cryspen/hax,"explicit_declaration,human_review"
cue-lang/cue,human_review
d-eniz/jupymd,"human_review,meet_quality"
dahlia/fedify,"explicit_declaration,human_review,follow_ai_rules"
dalance/veryl,human_review
damontecres/Wholphin,"explicit_declaration,human_review"
damus-io/damus,human_review
Dark-Alex-17/managarr,"explicit_declaration,human_review"
databuddy-analytics/Databuddy,"explicit_declaration,human_review,supplement_prompts_tests"
davidcole1340/ext-php-rs,"human_review,limited_scope"
davidlattimore/wild,"explicit_declaration,human_review"
DayuanJiang/next-ai-draw-io,human_review
dbt-labs/dbt-mcp,"human_review,supplement_prompts_tests"
deadlock-mod-manager/deadlock-mod-manager,"explicit_declaration,human_review"
deborahgu/soundcork,"explicit_declaration,human_review"
delta-incubator/delta-kernel-rs,"explicit_declaration,human_review"
delta-io/delta-kernel-rs,"explicit_declaration,human_review"
developmentseed/eoapi-k8s,"explicit_declaration,human_review,meet_quality"
diggerhq/digger,"explicit_declaration,human_review"
Dispatcharr/Dispatcharr,"human_review,meet_quality"
dloebl/cgif,"explicit_declaration,human_review"
dlvhdr/diffnav,"human_review,follow_ai_rules"
dlvhdr/gh-dash,"human_review,follow_ai_rules"
dmf-mxl/mxl,human_review
documenso/documenso,human_review
dongdongbh/Mindwtr,"human_review,meet_quality,limited_scope"
dotimplement/HealthChain,human_review
dstackai/dstack,"explicit_declaration,human_review"
duriantaco/skylos,"explicit_declaration,human_review"
dvankley/firefly-plaid-connector-2,human_review
earendil-works/absurd,"explicit_declaration,human_review"
EFForg/rayhunter,"explicit_declaration,human_review"
eigent-ai/eigent,"human_review,explicit_declaration,supplement_prompts_tests"
electrikmilk/cherri,human_review
elgatosf/streamdeck,"human_review,meet_quality"
embrace-io/embrace-android-sdk,"explicit_declaration,human_review"
emilyploszaj/emi,"human_review,meet_quality"
emlearn/emlearn-micropython,"human_review,meet_quality"
enuno/unifi-mcp-server,"explicit_declaration,human_review,supplement_prompts_tests"
envoyproxy/ai-gateway,"explicit_declaration,human_review"
ephemeraHQ/converse-app,"human_review,explicit_declaration"
ethersync/ethersync,"explicit_declaration,human_review"
eventual-inc/daft,"explicit_declaration,human_review,supplement_prompts_tests"
extphprs/ext-php-rs,"human_review,limited_scope"
ExtremeFLOW/neko,human_review
eyaltoledano/claude-task-master,"human_review,supplement_prompts_tests"
ezyang/codemcp,human_review
facebook/pyrefly,"explicit_declaration,human_review"
fallenbagel/jellyseerr,"human_review,meet_quality"
farion1231/cc-switch,"human_review,explicit_declaration,meet_quality,limited_scope"
fastplotlib/fastplotlib,"explicit_declaration,human_review"
fedify-dev/fedify,"explicit_declaration,human_review,follow_ai_rules"
finops-open-cost-and-usage-spec/focus_spec,"human_review,follow_ai_rules"
flipcomputing/flock,"supplement_prompts_tests,human_review,explicit_declaration"
floatpane/matcha,"human_review,meet_quality"
floppy/van_dam,"explicit_declaration,human_review"
fohrloop/wakepy,
foss42/api-dash,"human_review,meet_quality"
foss42/apidash,"human_review,meet_quality"
fossbilling/fossbilling,"human_review,meet_quality"
foundry-rs/foundry,"explicit_declaration,human_review"
freenet/freenet-core,"human_review,meet_quality,supplement_prompts_tests"
freenet/locutus,"human_review,meet_quality,supplement_prompts_tests"
freenet/river,"human_review,meet_quality,supplement_prompts_tests"
gabrieldrn/carbon-compose,human_review
getarcaneapp/arcane,"explicit_declaration,follow_ai_rules"
getfloresta/Floresta,
gethomepage/homepage,explicit_declaration
getkyo/kyo,human_review
getmaxun/maxun,"human_review,meet_quality"
ggerganov/llama.cpp,"explicit_declaration,human_review,follow_ai_rules"
ggml-org/llama.cpp,"explicit_declaration,human_review,follow_ai_rules"
ghostty-org/ghostty,"explicit_declaration,human_review,follow_ai_rules"
github/spec-kit,
gittuf/gittuf,"human_review,meet_quality"
gnolang/gno,"explicit_declaration,human_review"
go-skynet/LocalAI,
GoBetterAuth/go-better-auth,human_review
gobley/gobley,"human_review,limited_scope"
goharbor/harbor-cli,human_review
google-deepmind/alphafold3,"explicit_declaration,human_review"
google/adk-java,human_review
google/adk-js,human_review
google/heir,"human_review,follow_ai_rules"
greenpau/caddy-security,human_review
greptimeteam/greptimedb,human_review
gungraun/gungraun,"explicit_declaration,human_review"
h3ravel/framework,"explicit_declaration,human_review,meet_quality"
hacspec/hax,"explicit_declaration,human_review"
hamza417/inure,"human_review,limited_scope"
happier-dev/happier,"explicit_declaration,human_review"
harrison314/BouncyHsm,
HelpChat/DeluxeMenus,human_review
hermetoproject/cachi2,follow_ai_rules
hermetoproject/hermeto,follow_ai_rules
HexmosTech/FreeDevTools,
hhat-lang/hhat_lang,"human_review,meet_quality"
HiEventsDev/hi.events,"explicit_declaration,human_review"
hirotomoyamada/yamada-ui,"explicit_declaration,human_review,follow_ai_rules"
huacnlee/gpui-component,"human_review,meet_quality,follow_project_style"
huggingface/lerobot,follow_ai_rules
huggingface/safetensors,"explicit_declaration,human_review"
hummingbird-player/hummingbird,"human_review,explicit_declaration,meet_quality"
hummingbird-project/hummingbird,"explicit_declaration,human_review,meet_quality"
hummingbird-project/hummingbird-websocket,"explicit_declaration,human_review,meet_quality"
hydraide/hydraide,
hynek/stamina,"human_review,follow_ai_rules"
