repo_name,bin,prs_closed_in_bin,prohibited,time,intervention,time_after,language,stars,contributors,commits,repo_age_days,log_stars,log_contributors,log_commits,log_repo_age_days,log_prs_closed_in_bin
gethomepage/homepage,-6,40,0,1,0,0,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.713572066704308
gethomepage/homepage,-5,41,0,2,0,0,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.7376696182833684
gethomepage/homepage,-4,30,0,3,0,0,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.4339872044851463
gethomepage/homepage,-3,61,0,4,0,0,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,4.127134385045092
gethomepage/homepage,-2,63,0,5,0,0,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,4.1588830833596715
gethomepage/homepage,-1,46,0,6,0,0,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.8501476017100584
gethomepage/homepage,1,39,0,8,1,1,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.6888794541139363
gethomepage/homepage,2,31,0,9,1,2,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.4657359027997265
gethomepage/homepage,3,23,0,10,1,3,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.1780538303479458
gethomepage/homepage,4,28,0,11,1,4,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.367295829986474
gethomepage/homepage,5,43,0,12,1,5,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.784189633918261
gethomepage/homepage,6,33,0,13,1,6,JavaScript,28982,416,7026,1225,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,3.5263605246161616
lxc/incus-os,-6,35,1,1,0,0,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,3.58351893845611
lxc/incus-os,-5,26,1,2,0,0,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,3.295836866004329
lxc/incus-os,-4,16,1,3,0,0,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,2.833213344056216
lxc/incus-os,-3,57,1,4,0,0,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,4.060443010546419
lxc/incus-os,-2,42,1,5,0,0,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,3.7612001156935624
lxc/incus-os,-1,68,1,6,0,0,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,4.23410650459726
lxc/incus-os,1,64,1,8,1,1,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,4.174387269895637
lxc/incus-os,2,78,1,9,1,2,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,4.3694478524670215
lxc/incus-os,3,45,1,10,1,3,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,3.828641396489095
lxc/incus-os,4,59,1,11,1,4,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,4.0943445622221
lxc/incus-os,5,22,1,12,1,5,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,3.1354942159291497
lxc/incus-os,6,0,1,13,1,6,Go,886,19,2620,496,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,0.0
turbowarp/extensions,-6,19,0,1,0,0,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,2.995732273553991
turbowarp/extensions,-5,53,0,2,0,0,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,3.9889840465642745
turbowarp/extensions,-4,88,0,3,0,0,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,4.48863636973214
turbowarp/extensions,-3,57,0,4,0,0,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,4.060443010546419
turbowarp/extensions,-2,79,0,5,0,0,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,4.382026634673881
turbowarp/extensions,-1,81,0,6,0,0,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,4.406719247264253
turbowarp/extensions,1,36,0,8,1,1,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,3.6109179126442243
turbowarp/extensions,2,24,0,9,1,2,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,3.2188758248682006
turbowarp/extensions,3,17,0,10,1,3,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,2.8903717578961645
turbowarp/extensions,4,48,0,11,1,4,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,3.8918202981106265
turbowarp/extensions,5,43,0,12,1,5,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,3.784189633918261
turbowarp/extensions,6,12,0,13,1,6,JavaScript,170,67,1147,1801,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,2.5649493574615367
polarsource/polar,-6,146,0,1,0,0,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,4.990432586778736
polarsource/polar,-5,129,0,2,0,0,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,4.867534450455582
polarsource/polar,-4,179,0,3,0,0,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,5.19295685089021
polarsource/polar,-3,182,0,4,0,0,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,5.209486152841421
polarsource/polar,-2,157,0,5,0,0,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,5.062595033026967
polarsource/polar,-1,309,0,6,0,0,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,5.736572297479192
polarsource/polar,1,346,0,8,1,1,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,5.849324779946859
polarsource/polar,2,528,0,9,1,2,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.270988431858299
polarsource/polar,3,314,0,10,1,3,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,5.752572638825633
polarsource/polar,4,452,0,11,1,4,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.115892125483034
polarsource/polar,5,727,0,12,1,5,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.590301048196686
polarsource/polar,6,539,0,13,1,6,Python,9556,112,13817,1070,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.29156913955832
kyu08/fzf-make,-6,1,0,1,0,0,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,0.6931471805599453
kyu08/fzf-make,-5,2,0,2,0,0,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,1.0986122886681096
kyu08/fzf-make,-4,47,0,3,0,0,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,3.8712010109078907
kyu08/fzf-make,-3,2,0,4,0,0,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,1.0986122886681096
kyu08/fzf-make,-2,1,0,5,0,0,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,0.6931471805599453
kyu08/fzf-make,-1,8,0,6,0,0,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,2.1972245773362196
kyu08/fzf-make,1,29,0,8,1,1,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,3.4011973816621555
kyu08/fzf-make,2,1,0,9,1,2,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,0.6931471805599453
kyu08/fzf-make,3,2,0,10,1,3,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,1.0986122886681096
kyu08/fzf-make,4,2,0,11,1,4,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,1.0986122886681096
kyu08/fzf-make,5,1,0,12,1,5,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,0.6931471805599453
kyu08/fzf-make,6,0,0,13,1,6,Rust,265,16,394,1029,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,0.0
jovian-experiments/jovian-nixos,-6,5,0,1,0,0,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,1.791759469228055
jovian-experiments/jovian-nixos,-5,5,0,2,0,0,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,1.791759469228055
jovian-experiments/jovian-nixos,-4,6,0,3,0,0,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,1.9459101490553132
jovian-experiments/jovian-nixos,-3,9,0,4,0,0,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,2.302585092994046
jovian-experiments/jovian-nixos,-2,20,0,5,0,0,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,3.044522437723423
jovian-experiments/jovian-nixos,-1,9,0,6,0,0,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,2.302585092994046
jovian-experiments/jovian-nixos,1,25,0,8,1,1,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,3.258096538021482
jovian-experiments/jovian-nixos,2,20,0,9,1,2,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,3.044522437723423
jovian-experiments/jovian-nixos,3,11,0,10,1,3,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,2.4849066497880004
jovian-experiments/jovian-nixos,4,15,0,11,1,4,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,2.772588722239781
jovian-experiments/jovian-nixos,5,14,0,12,1,5,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,2.70805020110221
jovian-experiments/jovian-nixos,6,11,0,13,1,6,Nix,926,23,1538,1379,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,2.4849066497880004
chimera-linux/cports,-6,72,1,1,0,0,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.290459441148391
chimera-linux/cports,-5,94,1,2,0,0,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.553876891600541
chimera-linux/cports,-4,131,1,3,0,0,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.882801922586371
chimera-linux/cports,-3,142,1,4,0,0,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.962844630259907
chimera-linux/cports,-2,142,1,5,0,0,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.962844630259907
chimera-linux/cports,-1,124,1,6,0,0,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.8283137373023015
chimera-linux/cports,1,137,1,8,1,1,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.927253685157205
chimera-linux/cports,2,123,1,9,1,2,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.820281565605037
chimera-linux/cports,3,118,1,10,1,3,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.77912349311153
chimera-linux/cports,4,93,1,11,1,4,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.543294782270004
chimera-linux/cports,5,70,1,12,1,5,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.2626798770413155
chimera-linux/cports,6,108,1,13,1,6,Python,288,129,26202,1670,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,4.6913478822291435
pendulum-project/ntpd-rs,-6,31,0,1,0,0,Rust,1019,34,2957,1398,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,3.4657359027997265
pendulum-project/ntpd-rs,-5,8,0,2,0,0,Rust,1019,34,2957,1398,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,2.1972245773362196
pendulum-project/ntpd-rs,-4,13,0,3,0,0,Rust,1019,34,2957,1398,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,2.639057329615259
pendulum-project/ntpd-rs,-3,24,0,4,0,0,Rust,1019,34,2957,1398,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,3.2188758248682006
pendulum-project/ntpd-rs,-2,21,0,5,0,0,Rust,1019,34,2957,1398,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,3.091042453358316
pendulum-project/ntpd-rs,-1,16,0,6,0,0,Rust,1019,34,2957,1398,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,2.833213344056216
