repo_name,bin,new_prs,total_closed,review_comments_mean,close_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,aip_latency_days,time,intervention,time_after,log_new_prs,log_total_closed,log_review_comments_mean,log_close_latency_h,log_stars,log_contributors,log_commits,log_repo_age_days,log_aip_latency_days,prs_closed_in_bin,log_prs_closed_in_bin
turbowarp/extensions,6,33,32,0.2424242424242424,1025.712673611111,0,JavaScript,170,67,1147,1801,970,13,1,6,3.5263605246161616,3.49650756146648,0.2170645052378275,6.934117398254359,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,12,2.5649493574615367
polarsource/polar,-6,154,154,0.0064935064935064,20.214006132756136,0,Python,9556,112,13817,1070,972,1,0,0,5.043425116919247,5.043425116919247,0.0064725145056175,3.054661630173278,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,146,4.990432586778736
polarsource/polar,-5,140,140,0.0,19.03142261904761,0,Python,9556,112,13817,1070,972,2,0,0,4.948759890378168,4.948759890378168,0.0,2.997302171571369,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,129,4.867534450455582
polarsource/polar,-4,130,130,0.0461538461538461,57.88771794871795,0,Python,9556,112,13817,1070,972,3,0,0,4.875197323201151,4.875197323201151,0.0451204352804696,4.0756325451225655,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,179,5.19295685089021
polarsource/polar,-3,198,198,0.1818181818181818,91.04519640852972,0,Python,9556,112,13817,1070,972,4,0,0,5.293304824724492,5.293304824724492,0.1670540846631662,4.52227972172785,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,182,5.209486152841421
polarsource/polar,-2,160,160,0.5375,73.336625,0,Python,9556,112,13817,1070,972,5,0,0,5.081404364984463,5.081404364984463,0.4301577206985359,4.308603764322778,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,157,5.062595033026967
polarsource/polar,-1,243,243,0.2716049382716049,68.05884430727022,0,Python,9556,112,13817,1070,972,6,0,0,5.497168225293202,5.497168225293202,0.2402798335571969,4.234958957203666,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,309,5.736572297479192
polarsource/polar,1,349,349,0.4297994269340974,35.45072429162687,0,Python,9556,112,13817,1070,972,8,1,1,5.857933154483459,5.857933154483459,0.3575341735490915,3.595961329083771,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,346,5.849324779946859
polarsource/polar,2,454,453,0.2070484581497797,40.304788447387786,0,Python,9556,112,13817,1070,972,9,1,2,6.12029741895095,6.118097198041348,0.1881780889066676,3.7209784362821368,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,528,6.270988431858299
polarsource/polar,3,343,343,0.2915451895043732,71.98184564301911,0,Python,9556,112,13817,1070,972,10,1,3,5.840641657373398,5.840641657373398,0.2558393228791957,4.290210720398294,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,314,5.752572638825633
polarsource/polar,4,484,481,0.146694214876033,43.48200334950335,0,Python,9556,112,13817,1070,972,11,1,4,6.184148890937483,6.1779441140506,0.1368832070298028,3.795084688260446,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,452,6.115892125483034
polarsource/polar,5,576,574,0.3246527777777778,29.179533972125437,0,Python,9556,112,13817,1070,972,12,1,5,6.3578422665081,6.354370040797351,0.2811503705885657,3.407164011607671,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,727,6.590301048196686
polarsource/polar,6,650,644,0.2,27.97151224982747,0,Python,9556,112,13817,1070,972,13,1,6,6.478509642208569,6.4692503167957724,0.1823215567939546,3.366313010965198,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,6.880384082186005,539,6.29156913955832
kyu08/fzf-make,-6,3,3,0.0,1052.1923148148148,0,Rust,265,16,394,1029,900,1,0,0,1.3862943611198906,1.3862943611198906,0.0,6.959581130609977,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,1,0.6931471805599453
kyu08/fzf-make,-5,2,2,0.0,322.1118055555555,0,Rust,265,16,394,1029,900,2,0,0,1.0986122886681098,1.0986122886681098,0.0,5.777998410558348,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,2,1.0986122886681096
kyu08/fzf-make,-4,45,45,0.0444444444444444,17.787314814814817,0,Rust,265,16,394,1029,900,3,0,0,3.828641396489095,3.828641396489095,0.0434851119397388,2.933181898200963,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,47,3.8712010109078907
kyu08/fzf-make,-3,4,3,0.0,612.9073148148148,0,Rust,265,16,394,1029,900,4,0,0,1.6094379124341005,1.3862943611198906,0.0,6.419843963682247,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,2,1.0986122886681096
kyu08/fzf-make,-2,2,2,0.0,1006.03125,0,Rust,265,16,394,1029,900,5,0,0,1.0986122886681098,1.0986122886681098,0.0,6.914761925007662,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,1,0.6931471805599453
kyu08/fzf-make,-1,4,4,0.0,1413.9672916666668,0,Rust,265,16,394,1029,900,6,0,0,1.6094379124341005,1.6094379124341005,0.0,7.254861694380255,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,8,2.1972245773362196
kyu08/fzf-make,1,15,15,1.2,76.03166666666668,0,Rust,265,16,394,1029,900,8,1,1,2.772588722239781,2.772588722239781,0.7884573603642703,4.344216592722611,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,29,3.4011973816621555
kyu08/fzf-make,2,18,17,0.8888888888888888,0.1851960784313725,0,Rust,265,16,394,1029,900,9,1,2,2.9444389791664403,2.8903717578961645,0.6359887667199967,0.1699082279296295,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,1,0.6931471805599453
kyu08/fzf-make,3,3,1,0.3333333333333333,3090.6719444444443,0,Rust,265,16,394,1029,900,10,1,3,1.3862943611198906,0.6931471805599453,0.2876820724517808,8.036467305904003,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,2,1.0986122886681096
kyu08/fzf-make,4,5,5,2.2,165.209,0,Rust,265,16,394,1029,900,11,1,4,1.791759469228055,1.791759469228055,1.1631508098056809,5.113246032579751,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,2,1.0986122886681096
kyu08/fzf-make,5,2,0,0.0,,0,Rust,265,16,394,1029,900,12,1,5,1.0986122886681098,0.0,0.0,,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,1,0.6931471805599453
kyu08/fzf-make,6,2,0,0.0,,0,Rust,265,16,394,1029,900,13,1,6,1.0986122886681098,0.0,0.0,,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,6.803505257608338,0,0.0
jovian-experiments/jovian-nixos,-6,4,4,0.75,39.291875,0,Nix,926,23,1538,1379,550,1,0,0,1.6094379124341005,1.6094379124341005,0.5596157879354227,3.6961498357227978,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,5,1.791759469228055
jovian-experiments/jovian-nixos,-5,8,8,3.625,554.4244097222222,0,Nix,926,23,1538,1379,550,2,0,0,2.19722457733622,2.19722457733622,1.5314763709643886,6.31973252371288,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,5,1.791759469228055
jovian-experiments/jovian-nixos,-4,4,4,0.25,158.26076388888887,0,Nix,926,23,1538,1379,550,3,0,0,1.6094379124341005,1.6094379124341005,0.2231435513142097,5.070542883307114,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,6,1.9459101490553132
jovian-experiments/jovian-nixos,-3,9,9,0.7777777777777778,157.8324074074074,0,Nix,926,23,1538,1379,550,4,0,0,2.302585092994046,2.302585092994046,0.5753641449035618,5.0678496048650254,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,9,2.302585092994046
jovian-experiments/jovian-nixos,-2,12,12,0.5833333333333334,448.8243981481482,0,Nix,926,23,1538,1379,550,5,0,0,2.5649493574615367,2.5649493574615367,0.4595323293784402,6.108857280268807,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,20,3.044522437723423
jovian-experiments/jovian-nixos,-1,14,14,2.071428571428572,128.15200396825395,0,Nix,926,23,1538,1379,550,6,0,0,2.70805020110221,2.70805020110221,1.122142786078304,4.860990036016544,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,9,2.302585092994046
jovian-experiments/jovian-nixos,1,17,17,0.2352941176470588,18.217826797385623,0,Nix,926,23,1538,1379,550,8,1,1,2.8903717578961645,2.8903717578961645,0.2113090936672069,2.955838327294202,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,25,3.258096538021482
jovian-experiments/jovian-nixos,2,30,30,0.2333333333333333,152.74417592592593,0,Nix,926,23,1538,1379,550,9,1,2,3.4339872044851463,3.4339872044851463,0.2097205309820691,5.035290025812577,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,20,3.044522437723423
jovian-experiments/jovian-nixos,3,16,13,0.625,285.2822008547009,0,Nix,926,23,1538,1379,550,10,1,3,2.833213344056216,2.6390573296152584,0.4855078157817008,5.656978040610516,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,11,2.4849066497880004
jovian-experiments/jovian-nixos,4,12,12,0.0,598.4367824074073,0,Nix,926,23,1538,1379,550,11,1,4,2.5649493574615367,2.5649493574615367,0.0,6.395990518377508,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,15,2.772588722239781
jovian-experiments/jovian-nixos,5,16,16,0.0,501.20765625,0,Nix,926,23,1538,1379,550,12,1,5,2.833213344056216,2.833213344056216,0.0,6.219013692027426,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,14,2.70805020110221
jovian-experiments/jovian-nixos,6,9,9,0.0,203.6007716049383,0,Nix,926,23,1538,1379,550,13,1,6,2.302585092994046,2.302585092994046,0.0,5.321060624795548,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,6.311734809152915,11,2.4849066497880004
chimera-linux/cports,-6,105,105,1.0095238095238095,259.552044973545,1,Python,288,129,26202,1670,1399,1,0,0,4.663439094112067,4.663439094112067,0.6978977833185431,5.562802630004311,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,72,4.290459441148391
chimera-linux/cports,-5,86,86,0.813953488372093,282.5852164082688,1,Python,288,129,26202,1670,1399,2,0,0,4.465908118654584,4.465908118654584,0.5955087109960294,5.6475126649786125,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,94,4.553876891600541
chimera-linux/cports,-4,115,114,1.017391304347826,155.7207626705653,1,Python,288,129,26202,1670,1399,3,0,0,4.7535901911063645,4.74493212836325,0.7018052433030598,5.054465640077771,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,131,4.882801922586371
chimera-linux/cports,-3,159,158,0.4276729559748428,228.7958175105485,1,Python,288,129,26202,1670,1399,4,0,0,5.075173815233827,5.068904202220232,0.3560458152611711,5.437191164685701,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,142,4.962844630259907
chimera-linux/cports,-2,121,117,1.5041322314049588,113.10996438746436,1,Python,288,129,26202,1670,1399,5,0,0,4.804021044733257,4.770684624465665,0.917942259912628,4.737162583357015,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,142,4.962844630259907
chimera-linux/cports,-1,135,131,0.674074074074074,257.0282273112808,1,Python,288,129,26202,1670,1399,6,0,0,4.912654885736052,4.882801922586371,0.5152602208338564,5.553068987120238,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,124,4.8283137373023015
chimera-linux/cports,1,188,177,0.5531914893617021,193.7377338355305,1,Python,288,129,26202,1670,1399,8,1,1,5.241747015059643,5.181783550292085,0.4403118394383326,5.271653698610818,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,137,4.927253685157205
chimera-linux/cports,2,144,142,0.7291666666666666,426.8195833333334,1,Python,288,129,26202,1670,1399,9,1,2,4.976733742420574,4.962844630259907,0.5476395968887069,6.058701572443339,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,123,4.820281565605037
chimera-linux/cports,3,148,142,0.5540540540540541,328.7191412363067,1,Python,288,129,26202,1670,1399,10,1,3,5.003946305945459,4.962844630259907,0.4408670351590802,5.798241204917514,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,118,4.77912349311153
chimera-linux/cports,4,106,94,0.4811320754716981,213.94152186761235,1,Python,288,129,26202,1670,1399,11,1,4,4.672828834461906,4.553876891600541,0.3928067112362409,5.370365999817886,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,93,4.543294782270004
chimera-linux/cports,5,99,86,0.3131313131313131,387.2654134366924,1,Python,288,129,26202,1670,1399,12,1,5,4.605170185988092,4.465908118654584,0.2724146003209925,5.9616891610133305,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,70,4.2626798770413155
